Amostra;Site;Latitude;Longitude;Data;spp;Sepal_length;Sepal_width;Petal_length;Petal_width
A18;Site1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.1;3.5;1.4;0.3
A45;Site1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.1;3.8;1.9;0.4
A102;Site1;48.935966;-64.840984;01/12/1929;Iris_virginica;5.8;2.7;5.1;1.9
A141;Site1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.7;3.1;5.6;2.4
A101;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;3.3;6;2.5
A116;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.4;3.2;5.3;2.3
A138;Site1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.4;3.1;5.5;1.8
A118;Site3;48.329837;-65.512333;01/12/1929;Iris_virginica;7.7;3.8;6.7;2.2
A124;Site3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.3;2.7;4.9;1.8
A139;Site3;48.329837;-65.512333;01/12/1929;Iris_virginica;6;3;4.8;1.8
A104;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;2.9;5.6;1.8
A119;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;7.7;2.6;6.9;2.3
A134;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;2.8;5.1;1.5
A140;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.9;3.1;5.4;2.1
A143;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;5.8;2.7;5.1;1.9
A112;Site3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.4;2.7;5.3;1.9
A27;Site1;48.935966;-64.840984;01/12/1929;Iris_setosa;5;3.4;1.6;0.4
A40;Site3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.1;3.4;1.5;0.2
A43;Site3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.4;3.2;1.3;0.2
A46;Site3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.8;3;1.4;0.3
A60;Site1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.2;2.7;3.9;1.4
A56;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.7;2.8;4.5;1.3
A80;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.7;2.6;3.5;1
A92;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.1;3;4.6;1.4
A85;Site3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.4;3;4.5;1.5
