"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","tamanho petala",1.7,"cm"
"2","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","largura petala",0.2,"cm"
"3","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","tamanho sepala",5.4,"cm"
"4","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","largura sepala",3.4,"cm"
"5","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","tamanho petala",1.7,"cm"
"6","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","largura petala",0.5,"cm"
"7","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","tamanho sepala",5.1,"cm"
"8","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","largura sepala",3.3,"cm"
"9","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","tamanho petala",1.5,"cm"
"10","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","largura petala",0.1,"cm"
"11","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","tamanho sepala",5.2,"cm"
"12","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","largura sepala",4.1,"cm"
"13","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","tamanho petala",1.4,"cm"
"14","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","largura petala",0.2,"cm"
"15","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","tamanho sepala",5.1,"cm"
"16","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","largura sepala",3.4,"cm"
"17","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","tamanho petala",1.5,"cm"
"18","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","largura petala",0.2,"cm"
"19","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","tamanho sepala",4.9,"cm"
"20","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","largura sepala",3.1,"cm"
"21","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","tamanho petala",1.4,"cm"
"22","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","largura petala",0.2,"cm"
"23","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","tamanho sepala",5,"cm"
"24","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","largura sepala",3.6,"cm"
"25","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","tamanho petala",1.1,"cm"
"26","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","largura petala",0.1,"cm"
"27","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","tamanho sepala",4.3,"cm"
"28","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","largura sepala",3,"cm"
"29","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","tamanho petala",1.3,"cm"
"30","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","largura petala",0.2,"cm"
"31","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","tamanho sepala",5.5,"cm"
"32","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","largura sepala",3.5,"cm"
"33","Site3_1929-12-01","Site3_1929-12-01_A10","Edgar Anderson","tamanho petala",1.5,"cm"
"34","Site3_1929-12-01","Site3_1929-12-01_A10","Edgar Anderson","largura petala",0.1,"cm"
