"";"amostra";"spp";"data";"site";"latitude";"longitude";"tamanho_petala";"largura_petala";"tamanho_sepala";"largura_sepala"
"1";"A21";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"1.7";"0.2";"5.4";"3.4"
"2";"A24";"Iris setosa";1929-12-01;"Site1";"48.935967";"-64.840984";"1.7";"0.5";"5.1";"3.3"
"3";"A33";"Iris setosa";1929-12-01;"Site1";"48.935968";"-64.840984";"1.5";"0.1";"5.2";"4.1"
"4";"A29";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"1.4";"0.2";"5.1";"3.4"
"5";"A35";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766513";"1.5";"0.2";"4.9";"3.1"
"6";"A5";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766514";"1.4";"0.2";"5";"3.6"
"7";"A14";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766515";"1.1";"0.1";"4.3";"3"
"8";"A37";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"1.3";"0.2";"5.5";"3.5"
"9";"A10";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"1.5";"0.1";"4.9";"3.1"
"26";"A75";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"6.4";"2.9";"4.3";"1.3"
"27";"A96";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5.7";"3";"4.2";"1.2"
"42";"A128";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"6.1";"3";"4.9";"1.8"
"43";"A133";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"6.4";"2.8";"5.6";"2.2"
"44";"A39";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.4";"3";"1.3";"0.2"
"45";"A36";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5";"3.2";"1.2";"0.2"
"54";"A13";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"4.8";"3";"1.4";"0.1"
"60";"A16";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"5.7";"4.4";"1.5";"0.4"
"61";"A28";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"5.2";"3.5";"1.5";"0.2"
"62";"A4";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"4.6";"3.1";"1.5";"0.2"
"63";"A48";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.6";"3.2";"1.4";"0.2"
"81";"A15";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5.8";"4";"1.2";"0.2"
"82";"A25";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"4.8";"3.4";"1.9";"0.2"
"83";"A26";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5";"3";"1.6";"0.2"
"84";"A3";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.7";"3.2";"1.3";"0.2"
"85";"A32";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5.4";"3.4";"1.5";"0.4"
"86";"A41";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5";"3.5";"1.3";"0.3"
"87";"A47";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5.1";"3.8";"1.6";"0.2"
"104";"A42";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.5";"2.3";"1.3";"0.3"
"110";"A30";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.7";"3.2";"1.6";"0.2"
"119";"A39";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.4";"3";"1.3";"0.2"
"120";"A36";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5";"3.2";"1.2";"0.2"
"125";"A49";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"5.3";"3.7";"1.5";"0.2"
"137";"A12 ";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"1.6";"0.2";"4.8";"3.4"
"138";"A17";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"1.3";"0.4";"5.4";"3.9"
"139";"A20";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"1.5";"0.3";"5.1";"3.8"
"140";"A44";"Iris setosa";1930-02-14;"Site2";"48.540502";"-64.766512";"1.6";"0.6";"5";"3.5"
"141";"A50";"Iris setosa";1930-02-15;"Site2";"48.540502";"-64.766512";"1.4";"0.2";"5";"3.3"
"142";"A19";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"1.7";"0.3";"5.7";"3.8"
"143";"A22";"Iris setosa";1929-12-02;"Site3";"48.329837";"-65.512333";"1.5";"0.4";"5.1";"3.7"
"144";"A34";"Iris setosa";1929-12-03;"Site3";"48.329837";"-65.512333";"1.4";"0.2";"5.5";"4.2"
"145";"A1";"Iris setosa";1929-12-04;"Site3";"48.329837";"-65.512333";"1.4";"0.2";"5.1";"3.5"
"146";"A7";"Iris setosa";1929-12-05;"Site3";"48.329837";"-65.512333";"1.4";"0.3";"4.6";"3.4"
"10";"A63";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"4";"1";"6";"2.2"
"11";"A72";"Iris versicolor";1929-12-01;"Site1";"48.935967";"-64.840984";"4";"1.3";"6.1";"2.8"
"12";"A90";"Iris versicolor";1929-12-01;"Site1";"48.935968";"-64.840984";"4";"1.3";"5.5";"2.5"
"13";"A52";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"4.5";"1.5";"6.4";"3.2"
"14";"A67";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"4.5";"1.5";"5.6";"3"
"46";"A64";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.1";"2.9";"4.7";"1.4"
"47";"A69";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.2";"2.2";"4.5";"1.5"
"48";"A112";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.4";"2.7";"5.3";"1.9"
"49";"A86";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6";"3.4";"4.5";"1.6"
"50";"A49";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.3";"3.7";"1.5";"0.2"
"64";"A51";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"7";"3.2";"4.7";"1.4"
"65";"A59";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6.6";"2.9";"4.6";"1.3"
"66";"A61";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5";"2";"3.5";"1"
"67";"A65";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.6";"2.9";"3.6";"1.3"
"68";"A68";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.8";"2.7";"4.1";"1"
"69";"A73";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.3";"2.5";"4.9";"1.5"
"70";"A77";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6.8";"2.8";"4.8";"1.4"
"71";"A78";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.7";"3";"5";"1.7"
"72";"A83";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.8";"2.7";"3.9";"1.2"
"73";"A89";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.6";"3";"4.1";"1.3"
"74";"A97";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.7";"2.9";"4.2";"1.3"
"75";"A99";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"5.1";"2.5";"3";"1.1"
"76";"A100";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.7";"2.8";"4.1";"1.3"
