Sample;Sp;Sepal_Length_cm;Sepal_Width_cm;Petal_Length_cm;Petal_Width_cm;site;long;lat;day
A21;Iris_setosa;5.4;3.4;1.7;0.2;Site1;-64.840984;48.935966;01/12/1929
A24;Iris_setosa;5.1;3.3;1.7;0.5;Site1;-64.840984;48.935967;01/12/1929
A33;Iris_setosa;5.2;4.1;1.5;0.1;Site1;-64.840984;48.935968;01/12/1929
A29;Iris_setosa;5.1;3.4;1.4;0.2;Site2;-64.766512;48.540502;13/02/1930
A35;Iris_setosa;4.9;3.1;1.5;0.2;Site2;-64.766513;48.540502;13/02/1930
A5;Iris_setosa;5;3.6;1.4;0.2;Site2;-64.766514;48.540502;13/02/1930
A14;Iris_setosa;4.3;3;1.1;0.1;Site2;-64.766515;48.540502;13/02/1930
A37;Iris_setosa;5.5;3.5;1.3;0.2;Site3;-65.512333;48.329837;01/12/1929
A10;Iris_setosa;4.9;3.1;1.5;0.1;Site3;-65.512333;48.329837;01/12/1929
A63;Iris_versicolor;6;2.2;4;1;Site1;-64.840984;48.935966;01/12/1929
A72;Iris_versicolor;6.1;2.8;4;1.3;Site1;-64.840984;48.935967;01/12/1929
A90;Iris_versicolor;5.5;2.5;4;1.3;Site1;-64.840984;48.935968;01/12/1929
A52;Iris_versicolor;6.4;3.2;4.5;1.5;Site3;-65.512333;48.329837;01/12/1929
A67;Iris_versicolor;5.6;3;4.5;1.5;Site3;-65.512333;48.329837;01/12/1929
A108;Iris_virginica;7.3;2.9;6.3;1.8;Site1;-64.840984;48.935966;01/12/1929
A111;Iris_virginica;6.5;3.2;5.1;2;Site1;-64.840984;48.935966;01/12/1929
A117;Iris_virginica;6.5;3;5.5;1.8;Site1;-64.840984;48.935966;01/12/1929
A120;Iris_virginica;6;2.2;5;1.5;Site1;-64.840984;48.935966;01/12/1929
A122;Iris_virginica;5.6;2.8;4.9;2;Site2;-64.766512;48.540502;13/02/1930
A131;Iris_virginica;7.4;2.8;6.1;1.9;Site2;-64.766513;48.540502;13/02/1930
A140;Iris_virginica;6.9;3.1;5.4;2.1;Site2;-64.766514;48.540502;13/02/1930
A109;Iris_virginica;6.7;2.5;5.8;1.8;Site3;-65.512333;48.329837;01/12/1929
A115;Iris_virginica;5.8;2.8;5.1;2.4;Site3;-65.512333;48.329837;01/12/1929
A136;Iris_virginica;7.7;3;6.1;2.3;Site3;-65.512333;48.329837;01/12/1929
A142;Iris_virginica;6.9;3.1;5.1;2.3;Site3;-65.512333;48.329837;01/12/1929
