Ficha;spp;sepal_lenght (cm);sepal_widht (cm);petal_lenght (cm);petal_width (cm);site ;latitude;longitude;data
A114;iris_virginica;5.7;2.5;5;2;S1;48.935966;-64.840984;01/12/1929
A135;iris_virginica;6.1;2.6;5.6;1.4;S1;48.935966;-64.840984;01/12/1929
A144;iris_virginica;6.8;3.2;5.9;2.3;S1;48.935966;-64.840984;01/12/1929
A107;iris_virginica;4.9;2.5;4.5;1.7;S2;48.540502;-64.766512;13/02/1930
A110;iris_virginica;7.2;3.6;6.1;2.5;S2;48.54052;-64.766512;13/02/1930
A125;iris_virginica;6.7;3.3;5.7;2.1;S2;48.540502;-64.766512;13/02/1930
A143;iris_virginica;5.8;2.7;5.1;1.9;S2;48.540502;-64.766512;13/02/1930
A146;iris_virginica;6.7;3;5.2;2.3;S2;48.540502;-64.766512;13/02/1930
A106;iris_virginica;7.6;3;6.6;2.1;S3;48.329837;-65.512333;01/12/1929
A117;iris_virginica;6.5;3;5.5;1.8;S1;48.935966;-64.840984;01/12/1929
A145;iris_virginica;6.7;3.3;5.7;2.5;S3;48.329837;-65.512333;01/12/1929
A12 ;iris_setosa;4.8;3.4;1.6;0.2;S1;48.935966;-64.840984;01/12/1929
A17;iris_setosa;5.4;3.9;1.3;0.4;S2;48.540502;-64.766512;13/02/1930
A20;iris_setosa;5.1;3.8;1.5;0.3;S2;48.540502;-64.766512;13/02/1930
A44;iris_setosa;5;3.5;1.6;0.6;S2;48.540502;-64.766512;14/02/1930
A50;iris_setosa;5;3.3;1.4;0.2;S2;48.540502;-64.766512;15/02/1930
A19;iris_setosa;5.7;3.8;1.7;0.3;S3;48.329837;-65.512333;01/12/1929
A22;iris_setosa;5.1;3.7;1.5;0.4;S3;48.329837;-65.512333;02/12/1929
A34;iris_setosa;5.5;4.2;1.4;0.2;S3;48.329837;-65.512333;03/12/1929
A1;iris_setosa;5.1;3.5;1.4;0.2;S3;48.329837;-65.512333;04/12/1929
A7;iris_setosa;4.6;3.4;1.4;0.3;S3;48.329837;-65.512333;05/12/1929
A84;Iris_versicolor;6;2.7;5.1;1.6;S1;48.935966;-64.840984;01/12/1929
A53;Iris_versicolor;6.9;3.1;4.9;1.5;S2;48.540502;-64.766512;13/02/1930
A98;Iris_versicolor;6.2;2.9;4.3;1.3;S2;48.540502;-64.766512;13/02/1930
A94;Iris_versicolor;5;2.3;3.3;1;S3;48.329837;-65.512333;05/12/1929
