Amostra;Site;Latitude;Longitude;Data;spp;Sepal_length;Sepal_width;Petal_length;Petal_width
A103;Site3;48.329837;-65.512333;01/12/1929;Iris_virginica;7.1;3;5.9;2.1
A121;Site3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.9;3.2;5.7;2.3
A123;Site1;48.935966;-64.840984;01/12/1929;Iris_virginica;7.7;2.8;6.7;2
A13;Site3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.8;3;1.4;0.1
A134;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;2.8;5.1;1.5
A137;Site2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;3.4;5.6;2.4
A138;Site1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.4;3.1;5.5;1.8
A148;Site3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.5;3;5.2;2
A150;Site1;48.935966;-64.840984;01/12/1929;Iris_virginica;5.9;3;5.1;1.8
A16;Site3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.7;4.4;1.5;0.4
A28;Site3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.2;3.5;1.5;0.2
A4;Site3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.6;3.1;1.5;0.2
A48;Site1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.6;3.2;1.4;0.2
A51;Site1;48.935966;-64.840984;01/12/1929;Iris_versicolor;7;3.2;4.7;1.4
A59;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.6;2.9;4.6;1.3
A61;Site3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5;2;3.5;1
A65;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.6;2.9;3.6;1.3
A68;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.8;2.7;4.1;1
A73;Site3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6.3;2.5;4.9;1.5
A77;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.8;2.8;4.8;1.4
A78;Site1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6.7;3;5;1.7
A83;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.8;2.7;3.9;1.2
A89;Site2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.6;3;4.1;1.3
A97;Site3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.7;2.9;4.2;1.3
A99;Site1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.1;2.5;3;1.1
